Time,Hb,LDH,Hb_mean,LDH_mean
0,,,13.892307692307693,385.5652173913044
2,,,12.634615384615383,382.65384615384613
6,,,12.600000000000003,355.9166666666667
13,,,12.23846153846154,371.2
27,,,12.666666666666666,294.8333333333333
