Time,Hb,LDH,[R],Hb_mean,LDH_mean,[R]_mean
0,,,,13.80857142857143,317.0344827586207,64029.756097560974
2,,,,13.211428571428574,337.48387096774195,46234.61538461538
6,,,,13.081818181818187,283.24242424242425,88648.48484848485
13,,,,12.988571428571428,244.68571428571428,108237.14285714286
27,,,,13.514285714285716,235.28571428571428,90814.28571428571
